q,family,variant,kv,trtllm_gen_us,cutedsl_us,speedup,saving_pct,wins,rounds
4,CSA,FP8,8192,27.744,24.117,1.1504,13.07,3,3
4,CSA,FP8,32768,27.819,24.613,1.1303,11.53,3,3
4,CSA,FP8,65536,28.194,24.697,1.1416,12.40,3,3
4,CSA,FP8,131072,28.147,25.401,1.1081,9.76,3,3
4,CSA,FP8+Rope,8192,27.213,24.632,1.1048,9.49,3,3
4,CSA,FP8+Rope,32768,27.272,25.007,1.0906,8.31,3,3
4,CSA,FP8+Rope,65536,27.280,24.940,1.0938,8.58,3,3
4,CSA,FP8+Rope,131072,27.402,25.133,1.0903,8.28,3,3
4,HCA,FP8,8192,15.269,14.003,1.0904,8.29,3,3
4,HCA,FP8,32768,16.930,15.067,1.1237,11.00,3,3
4,HCA,FP8,65536,20.619,18.162,1.1353,11.92,3,3
4,HCA,FP8,131072,27.831,24.276,1.1464,12.77,3,3
4,HCA,FP8+Rope,8192,14.907,14.663,1.0166,1.63,3,3
4,HCA,FP8+Rope,32768,16.527,15.838,1.0435,4.17,3,3
4,HCA,FP8+Rope,65536,19.971,18.875,1.0580,5.49,3,3
4,HCA,FP8+Rope,131072,27.151,24.892,1.0907,8.32,3,3
8,CSA,FP8,8192,49.093,43.924,1.1177,10.53,3,3
8,CSA,FP8,32768,51.493,48.334,1.0654,6.13,3,3
8,CSA,FP8,65536,53.035,49.481,1.0718,6.70,3,3
8,CSA,FP8,131072,53.750,49.833,1.0786,7.29,3,3
8,CSA,FP8+Rope,8192,47.669,43.261,1.1019,9.25,3,3
8,CSA,FP8+Rope,32768,49.376,47.099,1.0483,4.61,3,3
8,CSA,FP8+Rope,65536,50.076,48.132,1.0404,3.88,3,3
8,CSA,FP8+Rope,131072,50.602,48.776,1.0374,3.61,3,3
8,HCA,FP8,8192,24.625,22.151,1.1117,10.05,3,3
8,HCA,FP8,32768,27.819,24.564,1.1325,11.70,3,3
8,HCA,FP8,65536,34.591,30.798,1.1232,10.97,3,3
8,HCA,FP8,131072,48.824,43.269,1.1284,11.38,3,3
8,HCA,FP8+Rope,8192,24.705,23.267,1.0618,5.82,3,3
8,HCA,FP8+Rope,32768,27.356,25.664,1.0659,6.18,3,3
8,HCA,FP8+Rope,65536,33.508,31.140,1.0760,7.07,3,3
8,HCA,FP8+Rope,131072,47.507,43.248,1.0985,8.97,3,3
