name,phase,variant,q,kv,topk,source_mean_us,ts_mean_us,saving_pct,wins,rounds,paired_sd_pp,max_source_drift_pct,source_o_differing_bytes,saving_pct_0909
context_csa_b2_q8192_kv8192,context,csa,8192,8192,1152,2547.243,2302.693,9.60,3,3,0.026,0.175,0,8.28
context_csa_rope_b2_q8192_kv8192,context,csa_rope,8192,8192,1152,2398.203,2258.266,5.84,3,3,0.043,0.235,0,1.12
context_hca_b2_q8192_kv8192,context,hca,8192,8192,192,1325.262,1214.998,8.32,3,3,0.094,0.218,0,8.06
context_hca_rope_b2_q8192_kv8192,context,hca_rope,8192,8192,192,1255.518,1163.796,7.31,3,3,0.014,0.022,0,1.38
generation_csa_b32_q4_kv131072,generation,csa,4,131072,1152,28.147,25.401,9.76,3,3,0.184,0.128,0,7.82
generation_csa_b32_q4_kv32768,generation,csa,4,32768,1152,27.819,24.613,11.53,3,3,0.095,0.252,0,8.66
generation_csa_b32_q4_kv65536,generation,csa,4,65536,1152,28.194,24.697,12.40,3,3,0.043,0.165,0,8.85
generation_csa_b32_q4_kv8192,generation,csa,4,8192,1152,27.744,24.117,13.07,3,3,0.019,0.074,0,10.22
generation_csa_b32_q8_kv131072,generation,csa,8,131072,1152,53.750,49.833,7.29,3,3,0.681,1.926,0,5.03
generation_csa_b32_q8_kv32768,generation,csa,8,32768,1152,51.493,48.334,6.13,3,3,2.032,0.946,0,5.38
generation_csa_b32_q8_kv65536,generation,csa,8,65536,1152,53.035,49.481,6.70,3,3,0.499,1.704,0,4.43
generation_csa_b32_q8_kv8192,generation,csa,8,8192,1152,49.093,43.924,10.53,3,3,0.333,0.847,0,7.83
generation_csa_rope_b32_q4_kv131072,generation,csa_rope,4,131072,1152,27.402,25.133,8.28,3,3,0.070,0.064,0,1.89
generation_csa_rope_b32_q4_kv32768,generation,csa_rope,4,32768,1152,27.272,25.007,8.31,3,3,0.094,0.358,0,1.12
generation_csa_rope_b32_q4_kv65536,generation,csa_rope,4,65536,1152,27.280,24.940,8.58,3,3,0.076,0.034,0,1.55
generation_csa_rope_b32_q4_kv8192,generation,csa_rope,4,8192,1152,27.213,24.632,9.49,3,3,0.044,0.098,0,1.65
generation_csa_rope_b32_q8_kv131072,generation,csa_rope,8,131072,1152,50.602,48.776,3.61,3,3,1.145,2.863,0,0.71
generation_csa_rope_b32_q8_kv32768,generation,csa_rope,8,32768,1152,49.376,47.099,4.61,3,3,0.199,1.543,0,1.11
generation_csa_rope_b32_q8_kv65536,generation,csa_rope,8,65536,1152,50.076,48.132,3.88,3,3,0.375,1.505,0,0.25
generation_csa_rope_b32_q8_kv8192,generation,csa_rope,8,8192,1152,47.669,43.261,9.25,3,3,0.722,0.533,0,1.75
generation_hca_b32_q4_kv131072,generation,hca,4,131072,1152,27.831,24.276,12.77,3,3,0.063,0.342,0,10.02
generation_hca_b32_q4_kv32768,generation,hca,4,32768,384,16.930,15.067,11.00,3,3,0.096,0.451,0,9.61
generation_hca_b32_q4_kv65536,generation,hca,4,65536,640,20.619,18.162,11.92,3,3,0.028,0.207,0,9.21
generation_hca_b32_q4_kv8192,generation,hca,4,8192,192,15.269,14.003,8.29,3,3,0.074,0.388,0,7.10
generation_hca_b32_q8_kv131072,generation,hca,8,131072,1152,48.824,43.269,11.38,3,3,0.179,0.077,0,8.70
generation_hca_b32_q8_kv32768,generation,hca,8,32768,384,27.819,24.564,11.70,3,3,0.032,0.059,0,11.17
generation_hca_b32_q8_kv65536,generation,hca,8,65536,640,34.591,30.798,10.97,3,3,0.030,0.139,0,9.63
generation_hca_b32_q8_kv8192,generation,hca,8,8192,192,24.625,22.151,10.05,3,3,0.003,0.054,0,7.89
generation_hca_rope_b32_q4_kv131072,generation,hca_rope,4,131072,1152,27.151,24.892,8.32,3,3,0.113,0.206,0,2.06
generation_hca_rope_b32_q4_kv32768,generation,hca_rope,4,32768,384,16.527,15.838,4.17,3,3,0.119,0.607,0,-7.92
generation_hca_rope_b32_q4_kv65536,generation,hca_rope,4,65536,640,19.971,18.875,5.49,3,3,0.058,0.243,0,-2.91
generation_hca_rope_b32_q4_kv8192,generation,hca_rope,4,8192,192,14.907,14.663,1.63,3,3,0.096,0.693,0,-8.51
generation_hca_rope_b32_q8_kv131072,generation,hca_rope,8,131072,1152,47.507,43.248,8.97,3,3,0.376,0.083,0,0.98
generation_hca_rope_b32_q8_kv32768,generation,hca_rope,8,32768,384,27.356,25.664,6.18,3,3,0.043,0.168,0,-1.86
generation_hca_rope_b32_q8_kv65536,generation,hca_rope,8,65536,640,33.508,31.140,7.07,3,3,0.039,0.077,0,-2.91
generation_hca_rope_b32_q8_kv8192,generation,hca_rope,8,8192,192,24.705,23.267,5.82,3,3,0.070,0.147,0,-4.39
